id,name,created_at,favorite_count,retweet_count,text
1589445031307485186,JoeBiden,2022-11-07 02:30:00+00:00,6009,1784,"Republicans in Congress have already introduced legislation to ban the right to choose nationwide, but if we elect more Senate Democrats and keep control of the House, we will codify Roe v. Wade as the law of the land."
1589423667779362816,JoeBiden,2022-11-07 01:05:07+00:00,7978,1930,"Earlier this month, we helped lower the cost of hearing aids. We made them available over the counter, which could save up to $3,000 a pair for millions of Americans with hearing loss."
1589408791120039936,JoeBiden,2022-11-07 00:06:00+00:00,5627,1514,"When I think of character, I think of @JohnFetterman.
When I think of courage, I think of @JoshShapiroPA.
Let’s get them elected.

Lock in your plan to vote at https://t.co/Hy8C4mIL2M before November 8. https://t.co/6K8malpHHX"
1589396772140765184,JoeBiden,2022-11-06 23:18:14+00:00,2430,639,"LIVE: I’m in Westchester County, New York, getting out the vote for Democrats right before Election Day. With two days left, there is so much at stake. Tune in.
https://t.co/4HGhTLruKX"
1589385395564957699,JoeBiden,2022-11-06 22:33:02+00:00,3558,964,"As we enter the final days of this midterm election, remember the power to shape America is in your hands. 

Head to https://t.co/Hy8C4mIL2M to make your plan to vote. https://t.co/Z2NpXdGMlC"
1589369603762794496,JoeBiden,2022-11-06 21:30:17+00:00,15222,3226,It's good to get out the vote with @BarackObama in Philadelphia a few days before this critical election. https://t.co/FUWrTHf9x4
1589358219394224129,JoeBiden,2022-11-06 20:45:03+00:00,4808,1341,Everything is at stake in these next 2 days. Make a plan to vote now: https://t.co/Hy8C4mIL2M
1589286493922635776,JoeBiden,2022-11-06 16:00:02+00:00,6922,2669,Social Security and Medicare are on the ballot. https://t.co/dqY0Oi7qdK
1589072112425340933,JoeBiden,2022-11-06 01:48:09+00:00,15143,3661,"Pennsylvania, you have the power to make @JohnFetterman your next United States senator and @JoshShapiroPA your next governor. 

There’s so much on the ballot. Make a plan to vote now: https://t.co/Hy8C4mIL2M. https://t.co/rTOET4VvKF"
1589065037309681666,JoeBiden,2022-11-06 01:20:02+00:00,23278,6798,"MAGA Republicans say one of their priorities is to deny Medicare the right to negotiate drug prices and give the power back to Big Pharma so they can continue to rip us off.

Their plan would hurt working- and middle-class Americans."
1589044926280568832,JoeBiden,2022-11-06 00:00:08+00:00,49742,11946,"What @BarackObama said.
https://t.co/9WSs7ourqS"
1589003844599648256,JoeBiden,2022-11-05 21:16:53+00:00,6746,1517,"HAPPENING NOW: I’m in Philadelphia with my good friend @BarackObama, speaking with voters about the stakes in the midterm elections. You don’t want to miss this, folks! https://t.co/Eu22Hv4wQl"
1588984498733072384,JoeBiden,2022-11-05 20:00:01+00:00,7915,2452,This is the choice we face. https://t.co/ZrNVGYNP8e
1588969394562281472,JoeBiden,2022-11-05 18:59:59+00:00,6504,1710,Ask everyone you know to go to https://t.co/Hy8C4mJiSk and make a plan to vote on or before November 8.
1588939343166676998,JoeBiden,2022-11-05 17:00:35+00:00,11808,3253,The oil industry has a choice: Either begin to invest in America or pay higher taxes on your excessive profits. https://t.co/Z8OqBAZ2U9
1588903242162999299,JoeBiden,2022-11-05 14:37:07+00:00,11518,2373,Period. https://t.co/3wcxBy2d0c
1588890633598533632,JoeBiden,2022-11-05 13:47:01+00:00,5010,1222,"This midterm election is about building a better America, but you’ve got to vote. 

Head to https://t.co/Hy8C4mIL2M today."
1588705166185881601,JoeBiden,2022-11-05 01:30:02+00:00,17512,6770,Working families can’t afford the Republican agenda. https://t.co/06GI2M9Rz3
1588682613014896642,JoeBiden,2022-11-05 00:00:25+00:00,17118,3784,I’m not going to apologize for helping working- and middle-class families. https://t.co/vo6J2yxnmF
1588659857342668801,JoeBiden,2022-11-04 22:30:00+00:00,4580,1441,The fate of democracy is in your hands: https://t.co/Hy8C4n0lUk https://t.co/46kWLv3357
1588637354859921409,JoeBiden,2022-11-04 21:00:35+00:00,13045,4625,"Senator Lindsey Graham made it clear: Republicans want a national ban on abortion. But if we elect two more Democratic senators and keep control of the House, we will codify Roe v. Wade. https://t.co/UNFw63oV9k"
1588615064717770753,JoeBiden,2022-11-04 19:32:01+00:00,10146,2670,"Today’s jobs report—adding 261,000 jobs with the unemployment rate still at a historically low 3.7%—shows that our jobs recovery remains strong.  

While comments by Republican leadership sure seem to indicate they are rooting for a recession, the U.S. economy continues to grow."
1588596954044534785,JoeBiden,2022-11-04 18:20:03+00:00,2639,593,"Folks, we’re making sure everyone knows what's at stake in this election. Join me in Maryland for a grassroots rally right before Election Day. RSVP now. 
https://t.co/y2zTbXjdL2"
1588576892977831938,JoeBiden,2022-11-04 17:00:20+00:00,5499,1250,Make sure you’re ready to vote on Election Day. https://t.co/Hy8C4mIL2M
1588561719017713665,JoeBiden,2022-11-04 16:00:02+00:00,7832,2106,"We must, with one overwhelming unified voice, speak as a country and say there's no place for political violence in America. https://t.co/izXsylToGb"
1588548137009963008,JoeBiden,2022-11-04 15:06:04+00:00,5025,1062,"Folks, no one’s gonna fight harder for New Mexico than Governor @Michelle4NM. https://t.co/jCof4lCyp8"
1588531679404199938,JoeBiden,2022-11-04 14:00:40+00:00,26129,9282,This MAGA Republican Party is determined to take us backwards. https://t.co/SNBDuebZyf
1588364188744835072,JoeBiden,2022-11-04 02:55:07+00:00,5993,1394,"To protect the right to choose and continue moving New Mexico forward, we must reelect Governor @Michelle4NM and vote for Democrats up and down the ballot. https://t.co/bujUVdo9W8"
1588342780308426752,JoeBiden,2022-11-04 01:30:03+00:00,64603,18343,You can’t make this stuff up. https://t.co/3shSF44oz2
1588305048626495489,JoeBiden,2022-11-03 23:00:07+00:00,91897,14417,"If we elect two more Democrats to the Senate and keep control of the House, we’re going to codify Roe v. Wade in January so it’s the law of the land."
1588284014145609728,JoeBiden,2022-11-03 21:36:32+00:00,2510,563,"I'm excited to join folks in New Mexico to talk about the choice voters face in the midterm elections. Listen in.
https://t.co/TJGzVBZuBn"
1588282437561638912,JoeBiden,2022-11-03 21:30:16+00:00,11383,4569,Republicans want to talk about spending? Let’s compare. https://t.co/wbjsQZjxgw
1588256450685566976,JoeBiden,2022-11-03 19:47:00+00:00,5708,1294,"I’m excited to join my good friend @BarackObama in Philadelphia to fire up voters ahead of the midterm elections. 

The stakes couldn’t be higher. And the choice couldn’t be clearer. Sign up.
https://t.co/5aN1iAOOea"
1588221972776878081,JoeBiden,2022-11-03 17:30:00+00:00,8293,2288,Democracy is on the ballot. https://t.co/f327esxgnZ
1588199609553371136,JoeBiden,2022-11-03 16:01:08+00:00,11556,3441,This midterm election is too important to sit out. Head to https://t.co/Hy8C4mIL2M to make your plan to vote today. https://t.co/agqMHID7j6
1588162842964168706,JoeBiden,2022-11-03 13:35:03+00:00,23838,5604,Make a plan to cast your ballot: https://t.co/Hy8C4mJiSk. https://t.co/apHZVLhHah
1587950384332656641,JoeBiden,2022-11-02 23:30:48+00:00,6571,1752,"The fate of the nation—the fate of the soul of America—lies where it always does:

With the people.

In your hands. In your hearts. And your ballot. https://t.co/Hy8C4mIL2M"
1587947527910866945,JoeBiden,2022-11-02 23:19:27+00:00,8598,2185,"History and common sense tell us that liberty, opportunity, and justice thrive in a democracy—not in an autocracy.

At our best, America is not a zero-sum society where for you to succeed, someone else must fail.

The promise of America is big enough for everyone to succeed."
1587947290140049411,JoeBiden,2022-11-02 23:18:31+00:00,26634,6637,All of us who reject political violence—and I believe that is the overwhelming majority of Americans—all of us must unite to make it absolutely clear violence and intimidation have no place in America.
1587946294563201025,JoeBiden,2022-11-02 23:14:33+00:00,19351,5281,"Democracy is more than a form of government. It’s a way of being. A way of seeing the world.

A way that defines who we are, what we believe, and why we do what we do.

Democracy is simply that fundamental."
1587945869457891328,JoeBiden,2022-11-02 23:12:52+00:00,71166,12459,"American democracy is under attack because the defeated former president of the United States refuses to accept the results of the 2020 election.

He refuses to accept the will of the people.

He refuses to accept the fact that he lost."
1587944518166482944,JoeBiden,2022-11-02 23:07:30+00:00,16413,4590,"We are facing a defining moment. An inflection point.

We must with one overwhelming, unified voice speak as a country and say there is no place for voter intimidation or political violence in America, whether it’s directed at Democrats or Republicans."
1587943505359507463,JoeBiden,2022-11-02 23:03:28+00:00,3192,830,"LIVE: Tune in as I deliver remarks on preserving and protecting our democracy.
https://t.co/P8jYSWp6ms"
1587935334674866177,JoeBiden,2022-11-02 22:31:00+00:00,4238,1078,"This is the most important midterm election in our lifetime. It’s going to shape what this country looks like for the next decade or more.

Make a plan to vote at https://t.co/Hy8C4mIL2M."
1587922252322177024,JoeBiden,2022-11-02 21:39:01+00:00,16179,3747,I will never apologize for helping middle-class Americans. https://t.co/bqXLjdxzZ9
